ticket_id,created_at,closed_at,room_number,floor,category,issue_description,priority,status,assigned_technician,shift,resolution_time_minutes,vip_flag,notes
MNT-7412-1,2026-09-21 19:00:00,2026-09-21 19:55:00,412,4,HVAC,"HVAC blowing warm air, room temp 26C. Guest Dr. E. Ben-Ari requested urgent technician.",Urgent,Resolved,Yossi C. (Senior AC Tech),Evening,55,True,Checked refrigerant pressure. Cleaned air filter. Temp set to 21C.
MNT-7412-2,2026-09-22 09:00:00,2026-09-22 10:20:00,412,4,HVAC,"HVAC unit vibrating heavily, rattling sound and temperature reset to 27C. Guest irritated.",High,Resolved,Ahmed K. (Mechanic),Morning,80,True,Tightened blower fan housing and applied vibration dampeners. Operational test passed.
MNT-7412-3,2026-09-23 00:00:00,,412,4,HVAC,HVAC cooling compressor failed completely. Room warm again. VIP guest demanded Duty Manager and refund.,Urgent,InProgress,David L. (Night Duty Tech),Night,,True,Compressor clutch cycling off. Temporary portable fan delivered. Need chiller technician at morning standup.
MNT-8304,2026-09-22 20:15:00,2026-09-22 20:40:00,304,3,Wi-Fi/Network,SmartTV losing network connection and buffering on hotel portal stream,High,Resolved,Eli R. (IT/AV Specialist),Evening,25,False,Repeated DHCP leases failing on 3rd floor switch Cisco-SW03. IT vendor notified.
MNT-8308,2026-09-22 20:42:00,2026-09-22 21:17:00,308,3,Wi-Fi/Network,Guest cannot connect smartphone to Wi-Fi portal; authentication timeout,High,Resolved,Eli R. (IT/AV Specialist),Evening,35,False,Repeated DHCP leases failing on 3rd floor switch Cisco-SW03. IT vendor notified.
MNT-8315,2026-09-22 21:18:00,2026-09-22 21:58:00,315,3,Wi-Fi/Network,Guest reports complete Wi-Fi signal drop in bedroom; SSID disconnects,High,Resolved,Eli R. (IT/AV Specialist),Evening,40,False,Repeated DHCP leases failing on 3rd floor switch Cisco-SW03. IT vendor notified.
MNT-8319,2026-09-22 22:05:00,,319,3,Wi-Fi/Network,SmartTV offline; error code NET-04 (IP gateway unreachable),High,InProgress,Eli R. (IT/AV Specialist),Evening,,False,Repeated DHCP leases failing on 3rd floor switch Cisco-SW03. IT vendor notified.
MNT-8491,2026-09-23 01:20:00,,Central Plant,0,Plumbing,Boiler #2 primary pressure relief valve leaking steam. High pressure safety cutoff engaged.,Urgent,WaitingParts,David L. (Night Duty Tech),Night,,False,Valve bypassed to secondary line. New 2-inch safety pressure valve ordered; delivery expected 10:30 AM.
MNT-8495,2026-09-23 02:45:00,,Elevator B,1,Elevator,Elevator B optic door safety sensor intermittent fault code E-14. Doors reopening repeatedly.,High,WaitingParts,Otis Contractor Hotline,Night,,False,Elevator B taken Out of Service. Otis service tech scheduled for 09:00 AM with replacement optical curtain.
MNT-8499,2026-09-23 04:10:00,,Service Pantry 2,2,Equipment,"Commercial ice machine compressor locked rotor, tripping 20A breaker in pantry.",Medium,WaitingParts,David L. (Night Duty Tech),Night,,False,Unit powered down. Heavy-duty 45uF run capacitor required from central workshop stock.
MNT-7201,2026-09-21 09:15:00,2026-09-21 10:00:00,104,1,Plumbing,Slow drain in shower basin,Medium,Resolved,Team Duty Tech,Morning,45,False,Routine maintenance task completed.
MNT-7202,2026-09-21 11:30:00,2026-09-21 11:50:00,210,2,Electrical,Desk reading lamp flickers,Low,Resolved,Team Duty Tech,Morning,20,False,Routine maintenance task completed.
MNT-7203,2026-09-21 16:40:00,2026-09-21 16:55:00,502,5,Locks,"Keycard reader red flash, battery low",High,Resolved,Team Duty Tech,Evening,15,False,Routine maintenance task completed.
MNT-7204,2026-09-21 18:20:00,2026-09-21 18:55:00,118,1,HVAC,Thermostat display blank,Medium,Resolved,Team Duty Tech,Evening,35,False,Routine maintenance task completed.
MNT-7205,2026-09-23 02:15:00,,205,2,Plumbing,Water leak from ceiling above bathroom - pipe riser joint failure,Urgent,InProgress,Team Duty Tech,Night,,False,Emergency pipe shutoff active.
MNT-7206,2026-09-22 10:10:00,2026-09-22 10:35:00,312,3,Equipment,In-room safe error CODE,Medium,Resolved,Team Duty Tech,Morning,25,False,Routine maintenance task completed.
MNT-7207,2026-09-22 13:45:00,2026-09-22 14:35:00,405,4,Plumbing,Toilet flush valve running continuously,Medium,Resolved,Team Duty Tech,Morning,50,False,Routine maintenance task completed.
MNT-7208,2026-09-22 17:15:00,2026-09-22 17:45:00,516,5,Electrical,Balcony light not turning off with master switch,Low,Resolved,Team Duty Tech,Evening,30,False,Routine maintenance task completed.
